State,Rural - Percentage of Persons,Rural - No. of Persons (lakhs),Urban - Percentage of Persons,Urban - No. of Persons (lakhs),Total - Percentage of Persons,Total - No. of Persons (lakhs)
Andhra Pradesh,11,61.8,5.8,17,9.2,78.8
Arunachal Pradesh,38.9,4.2,20.3,0.7,34.7,4.9
Assam,33.9,92.1,20.5,9.2,32,101.3
Bihar,34.1,320.4,31.2,37.8,33.7,358.2
Chhattisgarh,44.6,88.9,24.8,15.2,39.9,104.1
Goa,6.8,0.4,4.1,0.4,5.1,0.8
Gujarat,21.5,75.4,10.1,26.9,16.6,102.2
Haryana,11.6,19.4,10.3,9.4,11.2,28.8
Himachal Pradesh,8.5,5.3,4.3,0.3,8.1,5.6
Jammu & Kashmir,11.5,10.7,7.2,2.5,10.3,13.3
Jharkhand,40.8,104.1,24.8,20.2,37,124.3
Karnataka,24.5,92.8,15.3,37,20.9,129.8
Kerala,9.1,15.5,5,8.5,7.1,23.9
Madhya Pradesh,35.7,191,21,43.1,31.6,234.1
Maharashtra,24.2,150.6,9.1,47.4,17.4,197.9
Manipur,38.8,7.4,32.6,2.8,36.9,10.2
Meghalaya,12.5,3,9.3,0.6,11.9,3.6
Mizoram,35.4,1.9,6.4,0.4,20.4,2.3
Nagaland,19.9,2.8,16.5,1,18.9,3.8
Odisha,35.7,126.1,17.3,12.4,32.6,138.5
Punjab,7.7,13.4,9.2,9.8,8.3,23.2
Rajasthan,16.1,84.2,10.7,18.7,14.7,102.9
Sikkim,9.9,0.4,3.7,0.1,8.2,0.5
Tamil Nadu,15.8,59.2,6.5,23.4,11.3,82.6
Tripura,16.5,4.5,7.4,0.8,14,5.2
Uttar Pradesh,30.4,479.4,26.1,118.8,29.4,598.2
Uttarakhand,11.6,8.2,10.5,3.4,11.3,11.6
West Bengal,22.5,141.1,14.7,43.8,20,185
A & N Islands,1.6,0.04,0,0,1,0.04
Chandigarh,1.6,0.004,22.3,2.3,21.8,2.3
D & N Haveli,62.6,1.2,15.4,0.3,39.3,1.4
Daman & Diu,0,0,12.6,0.3,9.9,0.3
Delhi,12.9,0.5,9.8,16.5,9.9,17
Lakshadweep,0,0,3.4,0.02,2.8,0.02
INDIA,25.7,2166.6,13.7,531.2,21.9,2697.8
